target_id	length	eff_length	est_counts	tpm
Smic1	426	211.573	0	0
Smic2	981	761.928	9	0.804865
Smic3	1044	824.697	0	0
Smic4	10524	10304.7	450	2.97558
Smic5	2184	1964.7	284	9.84957
Smic6	528	311.348	80	17.5081
Smic7	852	633.402	67	7.20758
Smic8	1980	1760.7	116	4.48919
Smic9	513	296.501	9	2.06829
Smic10	3087	2867.7	276	6.55798
Smic11	4134	3914.7	132	2.29758
Smic12	6045	5825.7	401	4.69019
Smic13	2631	2411.7	115	3.24915
Smic14	312	108.944	59	36.9013
Smic15	2481	2261.7	619	18.6488
Smic16	708	490.147	121	16.8211
Smic17	837	618.464	220	24.2383
Smic18	1068	848.697	330	26.4945
Smic19	1980	1760.7	11	0.425699
Smic20	1905	1685.7	0	0
Smic21	996	776.774	0	0
Smic22	1980	1760.7	0	0
Smic23	1821	1601.7	318	13.5282
Smic24	2373	2153.7	315	9.96599
Smic25	1173	953.697	135	9.64535
Smic26	5430	5210.7	191.348	2.5022
Smic27	11499	11279.7	39	0.235593
Smic28	9642	9422.7	738	5.33673
Smic29	3465	3245.7	337	7.07484
Smic30	5217	4997.7	109	1.48611
Smic31	1281	1061.7	266	17.0717
Smic32	1134	914.697	80	5.95947
Smic33	747	528.792	32	4.12344
Smic34	4509	4289.7	1127.99	17.9173
Smic35	663	445.424	21	3.21248
Smic36	3702	3482.7	324.199	6.34294
Smic37	1983	1763.7	36	1.39083
Smic38	648	430.469	17	2.69093
Smic39	1083	863.697	0	0
Smic40	4248	4028.7	225	3.80551
Smic41	8046	7826.7	332	2.89037
Smic42	3612	3392.7	225	4.51889
Smic43	2310	2090.7	177	5.76868
Smic44	345	137.318	0	0
Smic45	5580	5360.7	165	2.09728
Smic46	717	499.048	0	0
Smic47	2067	1847.7	0	0
Smic48	1422	1202.7	262	14.8436
Smic49	1440	1220.7	84	4.68885
Smic50	7827	7607.7	17	0.152261
Smic51	894	675.139	61	6.15645
Smic52	375	163.852	1	0.415855
Smic53	1182	962.697	0	0
Smic54	750	531.686	93	11.9185
Smic55	2547	2327.7	15	0.439096
Smic56	360	150.78	2	0.903817
Smic57	1452	1232.7	117	6.46732
Smic58	336	129.291	0	0
Smic59	669	451.424	11	1.66036
Smic60	2397	2177.7	81	2.53444
Smic61	1974	1754.7	0	0
Smic62	867	648.338	0	0
Smic63	1680	1460.7	45	2.09917
Smic64	384	171.909	0	0
Smic65	6501	6281.7	0	0
Smic66	867	648.338	0	0
Smic67	528	311.348	6	1.31311
Smic68	645	427.511	82	13.0695
Smic69	696	478.195	7	0.997441
Smic70	2052	1832.7	52	1.93334
Smic71	558	341.086	46	9.18943
Smic72	7701	7481.7	0	0
Smic73	1680	1460.7	0	0
Smic74	1659	1439.7	0	0
Smic75	471	254.962	0	0
Smic76	1341	1121.7	4	0.242985
Smic77	1809	1589.7	0	0
Smic78	408	194.372	9	3.15502
Smic79	5526	5306.7	88.9317	1.1419
Smic80	8853	8633.7	0	0
Smic81	3081	2861.7	0	0
Smic82	2970	2750.7	0	0
Smic83	11577	11357.7	55	0.329964
Smic84	2085	1865.7	53	1.93566
Smic85	687	469.195	21	3.04972
Smic86	2862	2642.7	6	0.154703
Smic87	4305	4085.7	65.8094	1.09753
Smic88	4017	3797.7	21	0.376785
Smic89	2373	2153.7	34.0845	1.07837
Smic90	9591	9371.7	176	1.27964
Smic91	591	373.866	0	0
Smic92	3213	2993.7	113	2.57196
Smic93	3789	3569.7	192	3.66492
Smic94	3246	3026.7	171	3.84965
Smic95	801	582.524	654	76.4995
Smic96	3297	3077.7	191	4.22865
Smic97	2724	2504.7	47	1.27861
Smic98	237	53.5065	6	7.64081
Smic99	8709	8489.7	497	3.98895
Smic100	1356	1136.7	75	4.49584
Smic101	4716	4496.7	175.076	2.65294
Smic102	5841	5621.7	26	0.315138
Smic103	750	531.686	1	0.128156
Smic104	207	34.3464	72	142.839
Smic105	1641	1421.7	359	17.2061
Smic106	450	234.579	0	0
Smic107	1383	1163.7	21	1.22963
Smic108	1815	1595.7	192.565	8.22285
Smic109	1257	1037.7	298	19.5677
Smic110	960	740.928	238	21.8875
Smic111	432	217.313	19	5.95748
Smic112	1224	1004.7	0	0
Smic113	1011	791.697	33	2.8402
Smic114	981	761.928	0	0
Smic115	1725	1505.7	131	5.92827
Smic116	1752	1532.7	186	8.26896
Smic117	1485	1265.7	67	3.60695
Smic118	261	69.6766	10	9.77929
Smic119	10275	10055.7	45	0.304926
Smic120	1596	1376.7	295	14.6008
Smic121	8121	7901.7	0	0
Smic122	5316	5096.7	0	0
Smic123	3126	2906.7	12.075	0.283063
Smic124	336	129.291	87	45.8506
Smic125	489	272.701	0	0
Smic126	240	55.522	23	28.2265
Smic127	288	89.4927	375	285.521
Smic128	1158	938.697	0	0
Smic129	12531	12311.7	1102	6.09899
Smic130	9963	9743.7	5	0.0349656
Smic131	15693	15473.7	688	3.02962
Smic132	4320	4100.7	487	8.09218
