target_id	length	eff_length	est_counts	tpm
Smic1	426	204.093	0	0
Smic2	981	752.836	2	0.12345
Smic3	1044	815.76	0	0
Smic4	10524	10295.8	140	0.631876
Smic5	2184	1955.76	127	3.01752
Smic6	528	302.003	17	2.61577
Smic7	852	624.04	16	1.19143
Smic8	1980	1751.76	27	0.716228
Smic9	513	287.478	6	0.96986
Smic10	3087	2858.76	101	1.64174
Smic11	4134	3905.76	26	0.309335
Smic12	6045	5816.76	169	1.3501
Smic13	2631	2402.76	37	0.715572
Smic14	312	104.307	24	10.692
Smic15	2481	2252.76	255	5.26002
Smic16	708	480.601	67	6.47817
Smic17	837	609.102	83	6.33214
Smic18	1068	839.76	184	10.1818
Smic19	1980	1751.76	6	0.159162
Smic20	1905	1676.76	0	0
Smic21	996	767.76	0	0
Smic22	1980	1751.76	0	0
Smic23	1821	1592.76	146	4.25956
Smic24	2373	2144.76	140	3.03327
Smic25	1173	944.76	68	3.34464
Smic26	5430	5201.76	92.3033	0.824572
Smic27	11499	11270.8	32	0.131935
Smic28	9642	9413.76	240	1.1847
Smic29	3465	3236.76	131	1.88071
Smic30	5217	4988.76	39	0.363274
Smic31	1281	1052.76	150	6.621
Smic32	1134	905.76	29	1.48781
Smic33	747	519.502	10	0.894488
Smic34	4509	4280.76	564.3	6.12564
Smic35	663	435.694	33	3.51961
Smic36	3702	3473.76	190.826	2.5527
Smic37	1983	1754.76	22	0.582595
Smic38	648	420.694	11	1.21503
Smic39	1083	854.76	0	0
Smic40	4248	4019.76	102	1.17913
Smic41	8046	7817.76	174	1.03426
Smic42	3612	3383.76	81	1.11237
Smic43	2310	2081.76	57	1.27235
Smic44	345	131.507	0	0
Smic45	5580	5351.76	117	1.0159
Smic46	717	489.601	0	0
Smic47	2067	1838.76	3	0.0758155
Smic48	1422	1193.76	150	5.83897
Smic49	1440	1211.76	32	1.22714
Smic50	7827	7598.76	11	0.0672685
Smic51	894	665.978	19	1.32573
Smic52	375	157.104	0	0
Smic53	1182	953.76	0	0
Smic54	750	522.502	44	3.91315
Smic55	2547	2318.76	0	0
Smic56	360	144.279	0	0
Smic57	1452	1223.76	33	1.25308
Smic58	336	123.874	0	0
Smic59	669	441.694	9	0.946853
Smic60	2397	2168.76	38	0.814206
Smic61	1974	1745.76	0	0
Smic62	867	638.978	0	0
Smic63	1680	1451.76	22	0.70419
Smic64	384	164.917	0	0
Smic65	6501	6272.76	0	0
Smic66	867	638.978	0	0
Smic67	528	302.003	0	0
Smic68	645	417.694	11	1.22376
Smic69	696	468.648	28	2.77634
Smic70	2052	1823.76	11	0.280277
Smic71	558	331.467	35	4.9067
Smic72	7701	7472.76	0	0
Smic73	1680	1451.76	0	0
Smic74	1659	1430.76	0	0
Smic75	471	246.408	0	0
Smic76	1341	1112.76	0	0
Smic77	1809	1580.76	0	0
Smic78	408	187.112	2	0.496694
