target_id	length	eff_length	est_counts	tpm
Smic1	426	221.422	0	0
Smic2	981	773.845	1	0.104188
Smic3	1044	836.845	0	0
Smic4	10524	10316.8	126	0.984684
Smic5	2184	1976.85	78	3.18123
Smic6	528	321.701	22	5.5137
Smic7	852	644.992	24	3.00006
Smic8	1980	1772.85	38	1.72817
Smic9	513	306.796	12	3.15358
Smic10	3087	2879.85	85	2.3797
Smic11	4134	3926.85	35	0.718617
Smic12	6045	5837.85	127	1.75398
Smic13	2631	2423.85	26	0.864852
Smic14	312	116.214	12	8.32519
Smic15	2481	2273.85	195	6.91428
Smic16	708	501.114	44	7.07929
Smic17	837	630.055	83	10.6212
Smic18	1068	860.845	182	17.0459
Smic19	1980	1772.85	6	0.272869
Smic20	1905	1697.85	0	0
Smic21	996	788.845	0	0
Smic22	1980	1772.85	0	0
Smic23	1821	1613.85	68	3.39719
Smic24	2373	2165.85	128	4.76492
Smic25	1173	965.845	54	4.50774
Smic26	5430	5222.85	55.2436	0.852802
Smic27	11499	11291.8	23	0.164224
Smic28	9642	9434.85	175	1.49547
Smic29	3465	3257.85	89	2.20258
Smic30	5217	5009.85	24	0.386242
Smic31	1281	1073.85	62	4.65504
Smic32	1134	926.845	20	1.73979
Smic33	747	540.114	10	1.49275
Smic34	4509	4301.85	440.211	8.25048
Smic35	663	456.114	14	2.47473
Smic36	3702	3494.85	135.152	3.11794
Smic37	1983	1775.85	14	0.635618
Smic38	648	441.203	7	1.27918
Smic39	1083	875.845	0	0
Smic40	4248	4040.85	53	1.05749
Smic41	8046	7838.85	128	1.31653
Smic42	3612	3404.85	70	1.65758
Smic43	2310	2102.85	44	1.68701
Smic44	345	144.963	0	0
Smic45	5580	5372.85	73	1.09545
Smic46	717	510.114	0	0
Smic47	2067	1859.85	0	0
Smic48	1422	1214.85	123	8.16314
Smic49	1440	1232.85	18	1.17716
Smic50	7827	7619.85	8	0.084648
Smic51	894	686.992	9	1.05624
Smic52	375	172.54	0	0
Smic53	1182	974.845	0	0
Smic54	750	543.114	27	4.00817
Smic55	2547	2339.85	8	0.275661
Smic56	360	158.69	1	0.508071
Smic57	1452	1244.85	42	2.72024
Smic58	336	136.949	0	0
Smic59	669	462.114	3	0.523414
Smic60	2397	2189.85	40	1.47272
Smic61	1974	1766.85	24	1.09518
Smic62	867	659.992	22	2.68756
Smic63	1680	1472.85	13	0.711638
Smic64	384	180.928	0	0
Smic65	6501	6293.85	0	0
Smic66	867	659.992	0	0
Smic67	528	321.701	3	0.751868
Smic68	645	438.203	19	3.49584
Smic69	696	489.114	5	0.824202
Smic70	2052	1844.85	45	1.96664
Smic71	558	351.6	8	1.83449
Smic72	7701	7493.85	0	0
Smic73	1680	1472.85	0	0
Smic74	1659	1451.85	0	0
Smic75	471	265.502	0	0
Smic76	1341	1133.85	4	0.284433
Smic77	1809	1601.85	0	0
Smic78	408	203.849	4	1.58207
Smic79	5526	5318.85	45	0.682132
Smic80	8853	8645.85	0	0
Smic81	3081	2873.85	0	0
Smic82	2970	2762.85	0	0
Smic83	11577	11369.8	84	0.595659
Smic84	2085	1877.85	133	5.71038
Smic85	687	480.114	9	1.51137
Smic86	2862	2654.85	2	0.0607385
Smic87	4305	4097.85	15.2048	0.299156
Smic88	4017	3809.85	3	0.0634873
Smic89	2373	2165.85	14	0.521163
Smic90	9591	9383.85	47	0.403822
Smic91	591	384.452	3	0.629148
Smic92	3213	3005.85	42	1.12656
Smic93	3789	3581.85	63	1.4181
Smic94	3246	3038.85	86	2.28172
Smic95	801	594.055	305	41.3949
Smic96	3297	3089.85	100	2.60937
Smic97	2724	2516.85	23	0.736791
Smic98	237	58.1105	0	0
Smic99	8709	8501.85	195	1.84925
Smic100	1356	1148.85	15	1.0527
Smic101	4716	4508.85	27.4289	0.490474
Smic102	5841	5633.85	5	0.0715547
Smic103	750	543.114	2	0.296902
Smic104	207	38.2085	20	42.203
Smic105	1641	1433.85	172	9.67162
Smic106	450	244.96	0	0
Smic107	1383	1175.85	7	0.479978
Smic108	1815	1607.85	58.6697	2.942
Smic109	1257	1049.85	119	9.13892
Smic110	960	752.845	79	8.46047
Smic111	432	227.265	3	1.0643
Smic112	1224	1016.85	0	0
Smic113	1011	803.845	2	0.2006
Smic114	981	773.845	0	0
Smic115	1725	1517.85	31	1.64667
Smic116	1752	1544.85	70	3.65331
Smic117	1485	1277.85	19	1.1988
Smic118	261	75.2515	2	2.14283
Smic119	10275	10067.8	35	0.280288
Smic120	1596	1388.85	103	5.97938
Smic121	8121	7913.85	0	0
Smic122	5316	5108.85	1	0.0157816
Smic123	3126	2918.85	2	0.0552449
Smic124	336	136.949	18	10.5971
Smic125	489	283.119	1	0.284776
Smic126	240	60.1921	4	5.35789
Smic127	288	96.4908	99	82.7223
Smic128	1158	950.845	0	0
Smic129	12531	12323.8	295	1.92996
Smic130	9963	9755.85	8	0.0661147
Smic131	15693	15485.8	207	1.07773
Smic132	4320	4112.85	103.778	2.0344
Smic133	651	444.159	0	0
Smic134	1536	1328.85	0	0
Smic135	8673	8465.85	123	1.17141
Smic136	4059	3851.85	63	1.3187
Smic137	1191	983.845	91	7.4574
Smic138	1473	1265.85	102	6.4967
Smic139	1593	1385.85	19	1.10538
Smic140	318	121.323	0	0
Smic141	972	764.845	23	2.42453
Smic142	9054	8846.85	0	0
Smic143	720	513.114	13	2.04269
Smic144	2163	1955.85	37	1.52525
Smic145	3831	3623.85	19	0.422724
Smic146	300	106.094	4	3.03978
Smic147	1923	1715.85	3	0.140967
Smic148	2754	2546.85	318	10.0669
Smic149	855	647.992	8	0.995391
Smic150	726	519.114	6	0.931884
Smic151	1697	1489.85	0	0
Smic152	2064	1856.85	0	0
Smic153	1056	848.845	0	0
Smic154	1716	1508.85	65	3.4733
Smic155	726	519.114	3	0.465942
Smic156	897	689.992	9	1.05165
Smic157	981	773.845	65	6.77224
Smic158	615	408.413	0	0
Smic159	2568	2360.85	48	1.63926
Smic160	789	582.114	23	3.18561
Smic161	1929	1721.85	22	1.03015
Smic162	618	411.372	2	0.391984
Smic163	1587	1379.85	3	0.175293
Smic164	222	47.6494	3	5.07618
Smic165	939	731.919	3	0.33047
Smic166	8343	8135.85	0	0
Smic167	1125	917.845	41	3.60153
Smic168	282	91.5853	0	0
Smic169	942	734.919	0	0
Smic170	1062	854.845	29	2.73517
Smic171	1632	1424.85	47	2.65952
Smic172	1038	830.845	40	3.88162
Smic173	819	612.055	8	1.05384
Smic174	318	121.323	0	0
Smic175	1710	1502.85	16	0.858378
Smic176	3033	2825.85	16	0.456504
Smic177	5637	5429.85	58.9674	0.875583
