target_id	length	eff_length	est_counts	tpm
Smic1	426	203.028	0	0
Smic2	981	753.723	1	0.0775209
Smic3	1044	816.723	0	0
Smic4	10524	10296.7	351	1.99177
Smic5	2184	1956.72	177	5.28536
Smic6	528	302.347	73	14.1074
Smic7	852	625.22	37	3.4578
Smic8	1980	1752.72	119	3.96702
Smic9	513	287.525	7	1.42251
Smic10	3087	2859.72	217	4.4337
Smic11	4134	3906.72	99	1.48065
Smic12	6045	5817.72	292	2.93265
Smic13	2631	2403.72	83	2.01755
Smic14	312	102.337	22	12.5609
Smic15	2481	2253.72	441	11.4332
Smic16	708	481.657	104	12.6161
Smic17	837	610.282	202	19.3398
Smic18	1068	840.723	283	19.6682
Smic19	1980	1752.72	2	0.0666726
Smic20	1905	1677.72	0	0
Smic21	996	768.723	0	0
Smic22	1980	1752.72	0	0
Smic23	1821	1593.72	177	6.4892
Smic24	2373	2145.72	263	7.16165
Smic25	1173	945.723	116	7.16679
Smic26	5430	5202.72	190.587	2.14039
Smic27	11499	11271.7	44	0.228083
Smic28	9642	9414.72	664	4.12089
Smic29	3465	3237.72	257	4.63793
Smic30	5217	4989.72	36	0.421557
Smic31	1281	1053.72	248	13.7517
Smic32	1134	906.723	76	4.89745
Smic33	747	520.453	32	3.59252
Smic34	4509	4281.72	808.216	11.0291
Smic35	663	436.657	16	2.14097
Smic36	3702	3474.72	250.814	4.21758
Smic37	1983	1755.72	35	1.16478
Smic38	648	421.7	16	2.21691
Smic39	1083	855.723	0	0
Smic40	4248	4020.72	161	2.33966
Smic41	8046	7818.72	261	1.95045
Smic42	3612	3384.72	146	2.52035
Smic43	2310	2082.72	95	2.66516
Smic44	345	129.856	0	0
Smic45	5580	5352.72	176	1.92118
Smic46	717	490.657	0	0
Smic47	2067	1839.72	0	0
Smic48	1422	1194.72	230	11.2484
Smic49	1440	1212.72	19	0.915425
Smic50	7827	7599.72	9	0.0691951
Smic51	894	667.153	36	3.15288
Smic52	375	156.24	3	1.12192
Smic53	1182	954.723	0	0
Smic54	750	523.453	56	6.25087
Smic55	2547	2319.72	23	0.579325
Smic56	360	143.058	2	0.816859
Smic57	1452	1224.72	111	5.29561
Smic58	336	122.366	0	0
Smic59	669	442.657	0	0
Smic60	2397	2169.72	125	3.36617
Smic61	1974	1746.72	0	0
Smic62	867	640.22	0	0
Smic63	1680	1452.72	25.0013	1.00557
Smic64	384	164.28	0	0
Smic65	6501	6273.72	0	0
Smic66	867	640.22	0	0
Smic67	528	302.347	0	0
Smic68	645	418.7	50	6.97747
Smic69	696	469.657	2	0.248817
Smic70	2052	1824.72	31	0.992648
Smic71	558	332.095	25	4.39854
Smic72	7701	7473.72	0	0
Smic73	1680	1452.72	0	0
Smic74	1659	1431.72	0	0
Smic75	471	246.406	0	0
Smic76	1341	1113.72	5	0.262315
Smic77	1809	1581.72	0	0
Smic78	408	186.042	20	6.28131
Smic79	5526	5298.72	74.7746	0.824544
Smic80	8853	8625.72	0	0
Smic81	3081	2853.72	0	0
Smic82	2970	2742.72	0	0
Smic83	11577	11349.7	62	0.319181
Smic84	2085	1857.72	30	0.943563
Smic85	687	460.657	10	1.26839
Smic86	2862	2634.72	0	0
Smic87	4305	4077.72	28.8063	0.412762
Smic88	4017	3789.72	8	0.123343
Smic89	2373	2145.72	27	0.735226
Smic90	9591	9363.72	104	0.648956
Smic91	591	364.855	0	0
Smic92	3213	2985.72	112	2.19179
Smic93	3789	3561.72	148	2.42791
Smic94	3246	3018.72	144	2.78721
Smic95	801	574.342	767	78.029
Smic96	3297	3069.72	194	3.69261
Smic97	2724	2496.72	64	1.49775
Smic98	237	50.2116	2	2.32732
Smic99	8709	8481.72	393	2.70732
Smic100	1356	1128.72	56	2.89889
Smic101	4716	4488.72	114	1.48393
Smic102	5841	5613.72	14	0.145716
Smic103	750	523.453	5	0.558114
Smic104	207	33.6641	48	83.3116
Smic105	1641	1413.72	328	13.5563
Smic106	450	225.948	0	0
Smic107	1383	1155.72	26	1.31447
Smic108	1815	1587.72	118.575	4.36363
Smic109	1257	1029.72	238	13.5048
Smic110	960	732.797	212	16.9037
Smic111	432	208.778	12	3.35836
Smic112	1224	996.723	0	0
Smic113	1011	783.723	12	0.894642
Smic114	981	753.723	0	0
Smic115	1725	1497.72	148	5.77379
Smic116	1752	1524.72	137	5.25001
Smic117	1485	1257.72	30	1.39369
Smic118	261	65.3595	5	4.46984
Smic119	10275	10047.7	45	0.261683
Smic120	1596	1368.72	159	6.78754
Smic121	8121	7893.72	0	0
Smic122	5316	5088.72	0	0
Smic123	3126	2898.72	15	0.302354
Smic124	336	122.366	67	31.9923
Smic125	489	264.048	0	0
Smic126	240	51.8963	15	16.8883
Smic127	288	84.1213	238	165.311
Smic128	1158	930.723	0	0
Smic129	12531	12303.7	584	2.77337
Smic130	9963	9735.72	6	0.0360092
Smic131	15693	15465.7	500	1.88899
Smic132	4320	4092.72	313	4.46851
Smic133	651	424.7	0	0
Smic134	1536	1308.72	0	0
